id,scrape_timestamp,scrape_source,scrape_company_name,scrape_company_domain,job_title_scrape,scrape_job_title,scrape_job_url,scrape_job_location,scrape_category,scrape_keyword,scrape_job_intent,scrape_type_of_job,scrape_job_description,scrape_posted_time,scrape_country,scrape_job_post_date,scrape_job_scrape_date,scrape_timezone,scrape_company_size
1379353,2023-12-08T11:55:15.115Z,Indeed,Citirex,citirex.com,"Web Developer,Web Developer",Web Developer,https://www.indeed.com/rc/clk?jk=53c53bceac526133&bb=-cUrTfxMIY1AJQFb1mXt0BdvFsuK4v0gu2g2zlxA3y5mkxVDj9LWe14krWTao0dj&xkcb=SoCP67M3HkhPpWwk5R0LbzkdCdPP&fccid=ad5bd04aae81a89b&vjs=3,"15260 Ventura Boulevard, Los Angeles, CA 91403",website Development,WordPress Developer,web_development,N/A,,,"15260 Ventura Boulevard, Los Angeles, CA 91403",12-07-2023,12/08/2023,Pacific Standard Time,N/A
1379354,2023-12-08T11:55:23.548Z,Indeed,MODintelechy,modintelechy.com,"Web Developer (Contractor),Web Developer (Contractor)",Web Developer (Contractor),https://www.indeed.com/rc/clk?jk=88c6609060539175&bb=-cUrTfxMIY1Y7tt5e5mk7_FBxs9dzRiSyV5GIDKhsNnNasNaMn3UICrISbSnon5U&xkcb=SoCm67M3HkhPpWwk5R0JbzkdCdPP&fccid=996fd762022327e7&vjs=3,Remote,website Development,WordPress Developer,web_development,"Part-time, Contract",,,Remote,12-07-2023,12/08/2023,,N/A
1379355,2023-12-08T11:55:35.186Z,Indeed,CAC,caci.com,"Front-End Web Developer,Front-End Web Developer",Front-End Web Developer,https://www.indeed.com/rc/clk?jk=1c45871949fb95f5&bb=-cUrTfxMIY1b-ehJvyOWJUuQI6Nhpfy_j3WAaQ8nuYLWNCQgmdhUjp4ehvwENWt_&xkcb=SoCc67M3HkhPpWwk5R0PbzkdCdPP&fccid=5fca42294cdbc080&vjs=3,"Bethesda, MD 20817",website Development,WordPress Developer,web_development,Full-time,,,"Bethesda, MD 20817",12-07-2023,12/08/2023,Eastern Standard Time,"10,000+"
1379357,2023-12-08T11:55:52.931Z,Indeed,"OpsAssist,",ops-assist.com,"Part-time Web Developer,Part-time Web Developer",Part-time Web Developer,https://www.indeed.com/rc/clk?jk=d34bfdc40b5a1ab6&bb=m6xObF1LBYXWqdrCypbpIsdUwNci0ACawNvd1j46Gu5Lov_s4LJORt4ELpcObD6u&xkcb=SoCk67M3HkhPpRQk5R0IbzkdCdPP&fccid=122a275408350153&cmp=OpsAssist%2C-Inc.&ti=Web+Developer&vjs=3,"OpsAssist, Inc. in New York, NY 10013",website Development,WordPress Developer,web_development,"$40 - $60 an hour - Part-time, Contract",,,"OpsAssist, Inc. in New York, NY 10013",12-07-2023,12/08/2023,,N/A
1379358,2023-12-08T11:56:01.077Z,Indeed,Madden Media,maddenmedia.com,"SEO Strategist,SEO Strategist",SEO Strategist,https://www.indeed.com/rc/clk?jk=3ec5c8e8628f6898&bb=m6xObF1LBYUIlFvfxVPcFQqZXCCPG4wlnbdta8Be3jrIXX2OY3g8mqyUcz093_Yq&xkcb=SoCe67M3HkhPpRQk5R0ObzkdCdPP&fccid=30241660ea4c32c7&vjs=3,Remote,website Development,WordPress Developer,organic_search,"$64,000 - $67,000 a year - Full-time",,,Remote,12-07-2023,12/08/2023,,N/A
1379359,2023-12-08T11:56:09.800Z,Indeed,898 Marketing,marketingbrew.com,"Website Developer,Website Developer",Website Developer,https://www.indeed.com/rc/clk?jk=77e014977507919f&bb=CSOltciVNgDU8v8PE7tLyeHL0lWjnVNirAPEa3FEiGfs8nJzRry23thXlK9f-d6A&xkcb=SoDI67M3HkhPpRwk5R0KbzkdCdPP&fccid=eda88ad7d8aabf8a&cmp=898-Marketing&ti=Web+Developer&vjs=3,"898 Marketing in Canfield, OH 44406",website Development,WordPress Developer,nocode_dev,Full-time,,,"898 Marketing in Canfield, OH 44406",12-07-2023,12/08/2023,,N/A
1379360,2023-12-08T11:56:18.759Z,Indeed,Mule Works,muleworks.co,"Web Designer,Web Designer",Web Designer,https://www.indeed.com/rc/clk?jk=a43b47ec3d68eedf&bb=CSOltciVNgAj3JVFEaB6nTqyrre15HRG88vhan2lxKbIkLWjRQJ_3vhBoOX-K0ka&xkcb=SoDh67M3HkhPpRwk5R0IbzkdCdPP&fccid=3ec1de40e8ff1874&cmp=B--South-LLC&ti=Web+Designer&vjs=3,"10795 Hammerly Blvd, Houston, TX 77043",website Development,WordPress Developer,ui_ux,$15 - $25 an hour - Contract,,,"10795 Hammerly Blvd, Houston, TX 77043",12-07-2023,12/08/2023,Central Standard Time,N/A
1379361,2023-12-08T11:56:27.852Z,Indeed,Pannos Marketing,pannosmarketing.com,"Web Developer,Web Developer",Web Developer,https://www.indeed.com/rc/clk?jk=bfe4efb3f76c42f1&bb=z1EnZpfZwqy6Snkt-4WV4fFUAm176j4b2vs3xiBhaCa0aVm1qk1xu-JuFxrYiUDg&xkcb=SoBG67M3HkhPpQQk5R0KbzkdCdPP&fccid=9105ec8133d1bf5a&vjs=3,"Manchester, NH",website Development,WordPress Developer,web_development,Full-time,,,"Manchester, NH",12-07-2023,12/08/2023,Eastern Standard Time,N/A
1379362,2023-12-08T11:56:37.240Z,Indeed,DRIVE Law Firm Marketing,wedrivecases.com,"Web Developer,Web Developer",Web Developer,https://www.indeed.com/rc/clk?jk=d83b11f32dfd413f&bb=z1EnZpfZwqzCvNpEQo7uus2unkl_mux_09d--iefIEZ17v8K0bbWy-khVj0eRUg_&xkcb=SoDh67M3HkhPpQQk5R0PbzkdCdPP&fccid=0c2d629b10107477&cmp=Haskins-%2526-Company&ti=Web+Developer&vjs=3,"812 Laurens Rd, Greenville, SC 29607",website Development,WordPress Developer,web_development,"$40,000 - $50,000 a year - Full-time",,,"812 Laurens Rd, Greenville, SC 29607",12-07-2023,12/08/2023,Eastern Standard Time,N/A
1379363,2023-12-08T11:56:47.494Z,Indeed,Doorbusters Lock & Safe,doorbusterslv.com,"PHP Web Developer,PHP Web Developer",PHP Web Developer,https://www.indeed.com/rc/clk?jk=0cad50d48199f0e2&bb=brdnS8RjZvqGNRtt80C9SFMrQYxprQoagE_D0Zl-6UqORnDK8g50o9tKEEDq6snS&xkcb=SoC367M3HkhPpQwk5R0LbzkdCdPP&fccid=0615773ac3de952f&cmp=Liberty-Lock-%2526-Key&ti=PHP+Developer&vjs=3,"5000 W Charleston Blvd Ste 1, Las Vegas, NV 89146",website Development,WordPress Developer,backend,"$47,000 - $50,000 a year - Temporary",,,"5000 W Charleston Blvd Ste 1, Las Vegas, NV 89146",12-07-2023,12/08/2023,,N/A
